Sample	Ethanol
F2_A_MRP20_1	0.972128688
F2_A_MRP20_2	0.736703358
F2_A_MRP20_3	0.756439476
F2_A_MRP20_4	1.009750529
F2_A_MRP20_5	1.212504272
F2_A_MRP20_6	1.029373602
F2_A_MRP20_7	0.8276096
F2_A_MRP20_8	0.969687679
F2_A_MRP20_9	1.104256785
F2_A_MRP20_10	1.040932923
F2_A_MRP20_11	1.115965018
F2_A_MRP20_12	0.930261078
F2_A_MRP20_13	0.974179694
F2_A_MRP20_14	0.888333773
F2_A_MRP20_15	0.9379282
F2_A_MRP20_16	0.857529039
F2_A_MRP20_17	0.980874942
F2_A_MRP20_18	1.076353543
F2_A_MRP20_19	1.09077914
F2_A_MRP20_20	1.057309712
F2_A_MRP20_21	1.081869722
F2_A_MRP20_22	0.992518751
F2_A_MRP20_23	1.245715559
F2_A_MRP20_24	1.033879458
F2_A_MRP20_25	0.981098772
F2_A_MRP20_26	1.012687036
F2_A_MRP20_27	1.0879201
F2_A_MRP20_28	0.912718153
F2_A_MRP20_29	0.802500238
F2_A_MRP20_30	0.932951125
F2_A_MRP20_31	1.196906847
F2_A_MRP20_32	1.229683268
F2_A_MRP20_33	0.891771147
F2_A_MRP20_34	1.092837889
F2_A_MRP20_35	1.190694005
F2_A_MRP20_36	1.285994141
F2_A_MRP20_37	1.271961015
F2_A_MRP20_38	1.195338074
F2_A_MRP20_39	1.118529304
F2_A_MRP20_40	1.135518152
F2_A_MRP20_41	1.099483394
F2_A_MRP20_42	1.196781966
F2_A_MRP20_43	1.355391663
F2_A_MRP20_44	1.212334411
F2_A_MRP20_45	0.975775977
F2_A_MRP20_46	1.104755101
F2_A_MRP20_47	0.994444148
F2_A_MRP20_48	0.878230759
F2_A_MRP20_49	1.069269077
F2_A_MRP20_50	1.139999508
F2_A_MRP20_51	1.074990115
F2_A_MRP20_52	0.924156147
F2_A_MRP20_53	0.898313858
F2_A_MRP20_54	0.97144436
F2_A_MRP20_55	1.067517106
F2_A_MRP20_56	0.565083367
F2_A_MRP20_57	1.184834043
F2_A_MRP20_58	1.248165762
F2_A_MRP20_59	0.955544611
F2_A_MRP20_60	1.101886669
F2_A_MRP20_61	0.889612397
F2_A_MRP20_62	0.877610764
F2_A_MRP20_63	1.289192496
F2_A_MRP20_64	0.831727512
F2_A_MRP20_65	0.972741095
F2_A_MRP20_66	0.97261499
F2_A_MRP20_67	1.138726977
F2_A_MRP20_68	1.083012407
F2_A_MRP20_69	1.111496593
F2_A_MRP20_70	0.782216102
F2_A_MRP20_71	0.808759727
F2_A_MRP20_72	0.999249585
F2_A_MRP20_73	0.983100891
F2_A_MRP20_74	0.787885091
F2_A_MRP20_75	1.167949257
F2_A_MRP20_76	1.211996979
F2_A_MRP20_77	1.120294599
F2_A_MRP20_78	1.238321042
F2_A_MRP20_79	1.109578388
F2_A_MRP20_80	0.926710982
F2_A_MRP20_81	1.096707081
F2_A_MRP20_82	0.887841076
F2_A_MRP20_83	1.178950788
