Parent1	Parent2	Gene	LossOfFunction	Replicate	Ethanol
F2_B_mrp20_hos3_random_8	F2_B_MRP20_hos3_random_6	PDR15	0	1	0.802959359
F2_B_mrp20_hos3_random_20	F2_B_MRP20_hos3_random_6	PDR15	0	1	0.901477042
F2_B_mrp20_hos3_random_8	F2_B_MRP20_hos3_random_6	PDR15	1	1	0.656568455
F2_B_mrp20_hos3_random_8	F2_B_MRP20_hos3_random_2	PDR15	1	1	0.776279495
F2_B_mrp20_hos3_random_8	F2_B_MRP20_hos3_random_6	PDR15	0	2	0.901477042
F2_B_mrp20_hos3_random_20	F2_B_MRP20_hos3_random_6	PDR15	0	2	0.790397076
F2_B_mrp20_hos3_random_8	F2_B_MRP20_hos3_random_6	PDR15	1	2	0.808154403
F2_B_mrp20_hos3_random_8	F2_B_MRP20_hos3_random_2	PDR15	1	2	0.91655314
F2_B_mrp20_hos3_random_8	F2_B_MRP20_hos3_random_6	PDR15	0	3	0.805586766
F2_B_mrp20_hos3_random_20	F2_B_MRP20_hos3_random_6	PDR15	0	3	0.688143103
F2_B_mrp20_hos3_random_8	F2_B_MRP20_hos3_random_6	PDR15	1	3	0.653154429
F2_B_mrp20_hos3_random_8	F2_B_MRP20_hos3_random_2	PDR15	1	3	0.758749903
F2_B_mrp20_hos3_random_8	F2_B_MRP20_hos3_random_6	MRP20	0	1	0.822278731
F2_B_mrp20_hos3_random_20	F2_B_MRP20_hos3_random_6	MRP20	0	1	0.76199701
F2_B_mrp20_hos3_random_20	F2_B_MRP20_hos3_random_2	MRP20	0	1	0.9118378
F2_B_mrp20_hos3_random_8	F2_B_MRP20_hos3_random_6	MRP20	1	1	0.121254732
F2_B_mrp20_hos3_random_8	F2_B_MRP20_hos3_random_6	MRP20	1	1	0.237647329
F2_B_mrp20_hos3_random_8	F2_B_MRP20_hos3_random_6	MRP20	1	1	0.0832874
F2_B_mrp20_hos3_random_8	F2_B_MRP20_hos3_random_6	MRP20	0	2	0.878457807
F2_B_mrp20_hos3_random_20	F2_B_MRP20_hos3_random_6	MRP20	0	2	0.860324482
F2_B_mrp20_hos3_random_20	F2_B_MRP20_hos3_random_2	MRP20	0	2	0.998937574
F2_B_mrp20_hos3_random_8	F2_B_MRP20_hos3_random_6	MRP20	1	2	0.114532867
F2_B_mrp20_hos3_random_8	F2_B_MRP20_hos3_random_6	MRP20	1	2	0.363922687
F2_B_mrp20_hos3_random_8	F2_B_MRP20_hos3_random_6	MRP20	1	2	0.127929627
F2_B_mrp20_hos3_random_8	F2_B_MRP20_hos3_random_6	MRP20	0	3	0.817116309
F2_B_mrp20_hos3_random_20	F2_B_MRP20_hos3_random_6	MRP20	0	3	0.766022467
F2_B_mrp20_hos3_random_20	F2_B_MRP20_hos3_random_2	MRP20	0	3	0.923918017
F2_B_mrp20_hos3_random_8	F2_B_MRP20_hos3_random_6	MRP20	1	3	0.154432978
F2_B_mrp20_hos3_random_8	F2_B_MRP20_hos3_random_6	MRP20	1	3	0.372168647
F2_B_mrp20_hos3_random_8	F2_B_MRP20_hos3_random_6	MRP20	1	3	0.14130955
F2_B_mrp20_hos3_random_8	F2_B_MRP20_hos3_random_2	DIT1	1	1	0.898882194
F2_B_mrp20_hos3_random_8	F2_B_MRP20_hos3_random_2	DIT1	1	1	0.888676451
F2_B_mrp20_hos3_random_20	F2_B_MRP20_hos3_random_2	DIT1	1	1	0.907966534
F2_B_mrp20_hos3_random_20	F2_B_MRP20_hos3_random_2	DIT1	0	1	0.882558561
F2_B_mrp20_hos3_random_20	F2_B_MRP20_hos3_random_6	DIT1	0	1	0.866375363
F2_B_mrp20_hos3_random_8	F2_B_MRP20_hos3_random_2	DIT1	1	2	0.952769361
F2_B_mrp20_hos3_random_8	F2_B_MRP20_hos3_random_2	DIT1	1	2	0.875051398
F2_B_mrp20_hos3_random_20	F2_B_MRP20_hos3_random_2	DIT1	1	2	1.035043325
F2_B_mrp20_hos3_random_20	F2_B_MRP20_hos3_random_2	DIT1	0	2	1.071612293
F2_B_mrp20_hos3_random_20	F2_B_MRP20_hos3_random_6	DIT1	0	2	0.985672695
F2_B_mrp20_hos3_random_8	F2_B_MRP20_hos3_random_2	DIT1	1	3	0.901072659
F2_B_mrp20_hos3_random_8	F2_B_MRP20_hos3_random_2	DIT1	1	3	0.881196836
F2_B_mrp20_hos3_random_20	F2_B_MRP20_hos3_random_2	DIT1	1	3	0.918612202
F2_B_mrp20_hos3_random_20	F2_B_MRP20_hos3_random_2	DIT1	0	3	0.898049563
F2_B_mrp20_hos3_random_20	F2_B_MRP20_hos3_random_6	DIT1	0	3	0.826079178
