Sample	Type	MRP20	ColonySizes	Frequency
F2_A_MRP20_125	segregant	MRP20	0.008,0.008,0.014,0.008,0.009,0.009,0.008,0.009,0.008,0.008,0.008,0.008,0.007,0.012,0.008,0.018,0.007,0.007,0.014,0.008,0.011,0.008,0.008,0.006,0.013,0.009,0.007,0.008,0.007,0.007,0.007,0.007,0.016,0.005,0.007,0.015,0.007,0.007,0.007,0.008,0.007,0.014,0.007,0.007,0.007,0.008,0.007,0.008,0.008,0.008,0.007,0.008,0.01,0.008,0.000181,0.011,0.008,0.015,0.014,0.008,0.008,0.008,0.009	1.58730158730159
F2_A_MRP20_121	segregant	MRP20	0.004,0.004,0.001,0.004,0.004,0.007,0.004,0.007,0.004,0.000592,0.000658,0.004,0.003,0.000542,0.005,0.003,0.005,0.007,0.004,0.003,0.003,0.000583,0.004,0.003,0.004,0.004,0.004,0.004,0.008,0.003,0.004,0.004,0.004,0.005,0.000708,0.004,0.003,0.004,0.004,0.000908,0.000644,0.006,0.004,0.004,0.004,0.003,0.004,0.004,0.004,0.003,0.004,0.000931,0.004,0.003,0.001	18.1818181818182
F2_A_MRP20_131	segregant	MRP20	0.013,0.013,0.014,0.013,0.02,0.013,0.014,0.012,0.013,0.013,0.013,0.012,0.011,0.013,0.011,0.014,0.022,0.018,0.012,0.014,0.012,0.012,0.014,0.014,0.011,0.012,0.012,0.012,0.011,0.012,0.014,0.014,0.013,0.013,0.012,0.015,0.011	0
F2_A_MRP20_32	segregant	MRP20	2.78e-06,0.005,0.005,0.004,0.005,0.005,0.005,0.005,0.006,0.004,0.005,0.004,0.006,0.005,0.006,0.004,0.006,0.000681,0.004,0.005,0.003,0.005,0.005,0.004,0.006,0.01,0.008,0.005,0.004,0.004,0.005,0.000431,0.004,0.004,0.006,0.005,0.005,0.005,0.000297,0.005,0.006,0.000328,0.006,0.005,0.005,0.004,0.009,0.000308,0.006,0.005,0.005,0.004,0.007,0.000419,0.007,0.008,0.011,0.005,0.005,0.006,0.005,0.005,0.004,0.014,0.005,0.005,0.004,0.006,0.005,0.004,0.004,0.006,0.004,0.005,0.005,0.006,0.009,0.004,0.000125,3.89e-05,0.009,0.004,0.005,0.005,0.008,0.004,0.005,0.005,0.006,0.005,0.005,0.000272,0.005,0.005,0.005	10.5263157894737
F2_A_MRP20_138	segregant	MRP20	2.78e-06,0.008,0.004,0.009,0.007,0.005,0.000103,0.005,0.006,0.014,0.006,0.005,0.008,0.005,0.006,0.008,0.008,0.005,0.005,0.005,0.004,0.005,0.005,0.005,0.000347,0.005,0.006,0.007,0.005,0.018,0.008,0.005,0.006,0.009,0.006,0.006,0.007,0.006,0.005,0.006,0.006,0.004,0.006,0.005,0.006,0.008,0.008,0.006,0.005,0.007,0.006,0.006,0.006,0.006,0.006,0.007,0.005,0.007,0.005,0.005,0.005,0.007,0.007,0.000297,0.005,0.007,0.005,0.005,0.006,0.005,0.007,0.006,0.006,0.005,0.005,0.012,8.61e-05,0.006,0.005,0.006,0.006,0.007,0.005,0.006,0.009,0.008,0.002,0.005,0.007,0.006,0.006,0.007,0.006,0.006,0.015,0.007,0.006,0.007,0.007,0.009,6.94e-05,0.005,0.005,0.006,0.006,0.007,0.009,0.006,0.01,0.007	5.45454545454545
F2_A_MRP20_68	segregant	MRP20	0.004,8.33e-06,0.004,0.004,0.004,0.004,0.003,0.005,0.002,0.004,0.005,0.007,0.004,0.004,0.004,0.004,0.001,0.004,0.005,0.004,0.003,0.004,0.004,0.003,0.005,0.004,0.004,0.004,0.004,0.002,0.002,0.004,0.006,0.004,0.003,0.002,0.001,0.005,0.002,0.004,0.002,0.004,0.004,0.003,0.004,0.004,0.004,0.004,0.001,0.000847,0.001,0.005,0.003	11.3207547169811
F2_A_MRP20_79	segregant	MRP20	2.78e-06,0.005,0.006,0.005,0.005,0.005,0.005,0.006,0.004,0.006,0.006,0.005,0.005,0.005,0.005,0.004,0.004,0.008,0.005,0.000147,0.005,0.005,0.004,0.005,0.009,0.005,0.005,0.009,0.007,0.005,0.004,0.005,0.005,0.004,0.005,0.004,0.007,0.005,0.004,0.005,0.005,0.005,0.005,0.005,0.005,0.012,0.007,0.005,0.006,0.005,0.009,0.011,0.004,0.006,0.005,0.005,0.005,0.009,0.005,0.005,0.009,0.006,0.006,0.005,0.005,0.006,0.006,0.009,0.006,0.006,0.005,0.006,0.006,0.006,0.006,0.006,0.01,0.006,0.006,0.005,0.012,0.007	2.4390243902439
F2_A_MRP20_42	segregant	MRP20	2.78e-06,0.002,0.005,0.006,1.11e-05,2.5e-05,2.78e-06,0.005,0.004,0.006,0.005,0.004,0.013,0.005,0.005,0.005,0.009,0.005,0.003,0.006,0.009,0.008,0.004,0.005,0.005,0.005,0.006,0.008,0.005,0.006,0.005,0.005,0.004,0.003,0.005,0.005,0.004,0.006,0.004,0.004,0.006,0.006,0.004,0.000361,0.004,0.005,0.005,0.005,0.005,0.005,0.004,0.008,0.006,0.013,0.005,0.006,0.005,0.004,0.004,0.005,0.006,0.005,0.003,0.003,0.004,0.004,0.006,0.005,0.004,0.005,0.005,0.003,0.006,0.005,0.004,0.008,0.007,0.004,0.006,0.003,0.005,0.006	6.09756097560976
F2_A_MRP20_147	segregant	MRP20	0.012,0.007,0.008,0.006,0.007,0.006,0.009,0.007,0.006,0.007,0.004,0.005,0.005,0.004,0.004,0.005,0.005,0.006,0.004,0.01,0.005,0.005,0.005,0.008,0.005,0.005,0.006,0.009,0.004,0.005,0.005,0.000278,0.006,0.006,0.006,0.005,0.005,0.01,0.009,0.013,0.007,0.008,0.007,0.006,0.016,0.007,0.007,0.011,0.007,0.007,0.012,0.008,0.007,0.007,8.33e-06,0.008,0.008,0.007,0.012,0.009,0.002,0.007,0.008,0.007,0.008,0.007,0.006,0.007	2.94117647058824
F2_A_MRP20_56	segregant	MRP20	0.005,0.006,0.004,0.01,0.008,0.006,0.005,0.005,0.005,0.007,0.005,0.005,0.006,0.007,0.004,0.006,0.007,0.004,0.006,0.005,0.006,0.006,0.007,0.004,0.006,0.006,0.004,0.007,0.004,0.005,0.006,0.005,0.006,0.006,0.005,0.006,0.007,0.005,0.005,0.005,0.004,0.004	0
