Sample	AverageChr2Coverage	Chr2
F2_D_mrp20_1	0.9	0
F2_D_mrp20_2	1.1	0
F2_D_mrp20_3	1	0
F2_D_mrp20_4	1	0
F2_D_mrp20_5	1.7	1
F2_D_mrp20_6	0.9	0
F2_D_mrp20_7	1	0
F2_D_mrp20_8	0.9	0
F2_D_mrp20_9	1	0
F2_D_mrp20_10	1	0
F2_D_mrp20_11	1.8	1
F2_D_mrp20_12	0.9	0
F2_D_mrp20_13	1	0
F2_D_mrp20_14	1	0
F2_D_mrp20_15	1	0
F2_D_mrp20_16	1	0
F2_D_mrp20_17	1	0
F2_D_mrp20_18	0.9	0
F2_D_mrp20_19	1	0
F2_D_mrp20_20	1	0
F2_D_mrp20_21	0.9	0
F2_D_mrp20_22	1	0
F2_D_mrp20_23	1	0
F2_D_mrp20_24	0.9	0
F2_D_mrp20_25	1	0
F2_D_mrp20_26	1	0
F2_D_mrp20_27	1	0
F2_D_mrp20_28	1	0
F2_D_mrp20_29	0.9	0
F2_D_mrp20_30	0.9	0
F2_D_mrp20_31	0.9	0
F2_D_mrp20_32	1	0
F2_D_mrp20_33	1	0
F2_D_mrp20_34	0.9	0
F2_D_mrp20_35	0.9	0
F2_D_mrp20_36	1	0
F2_D_mrp20_37	1.8	1
F2_D_mrp20_38	1.5	1
F2_D_mrp20_39	0.9	0
F2_D_mrp20_40	1	0
F2_D_mrp20_41	1.7	1
F2_D_mrp20_42	1	0
F2_D_mrp20_43	0.9	0
F2_D_mrp20_44	1	0
F2_D_mrp20_45	0.9	0
F2_D_mrp20_46	1.2	0
F2_D_mrp20_47	0.9	0
F2_D_mrp20_48	1	0
F2_D_mrp20_49	1	0
F2_D_mrp20_50	1	0
F2_D_mrp20_51	0.9	0
F2_D_mrp20_52	1.8	1
F2_D_mrp20_53	1	0
F2_D_mrp20_54	0.9	0
F2_D_mrp20_55	1	0
F2_D_mrp20_56	1.7	1
F2_D_mrp20_57	0.9	0
F2_D_mrp20_58	0.9	0
F2_D_mrp20_59	0.9	0
F2_D_mrp20_60	0.9	0
F2_D_mrp20_61	1.8	1
F2_D_mrp20_62	0.9	0
F2_D_mrp20_63	0.9	0
F2_D_mrp20_64	0.9	0
F2_D_mrp20_65	1.8	1
F2_D_mrp20_66	1	0
F2_D_mrp20_67	0.9	0
F2_D_mrp20_68	1	0
F2_D_mrp20_69	1	0
F2_D_mrp20_70	1	0
F2_D_mrp20_71	1.7	1
F2_D_mrp20_72	1	0
F2_D_mrp20_73	0.9	0
F2_D_mrp20_74	1.7	1
F2_D_mrp20_75	1	0
F2_D_mrp20_76	1.4	0
F2_D_mrp20_77	1	0
F2_D_mrp20_78	1	0
F2_D_mrp20_79	1	0
F2_D_mrp20_80	0.9	0
F2_D_mrp20_81	1	0
F2_D_mrp20_82	1	0
F2_D_mrp20_83	0.9	0
F2_D_mrp20_84	1.6	1
F2_D_mrp20_85	1	0
F2_D_mrp20_86	0.9	0
F2_D_mrp20_87	1	0
F2_D_mrp20_88	1	0
F2_D_mrp20_89	1	0
F2_D_mrp20_90	1	0
F2_D_mrp20_91	0.9	0
F2_D_mrp20_92	0.9	0
F2_D_mrp20_93	1	0
F2_D_mrp20_94	1	0
F2_D_mrp20_95	1	0
F2_D_mrp20_96	1	0
F2_D_mrp20_97	1	0
F2_D_mrp20_98	1	0
F2_D_mrp20_99	1	0
F2_D_mrp20_100	1.4	0
F2_D_mrp20_101	1	0
F2_D_mrp20_102	1	0
F2_D_mrp20_103	1	0
F2_D_mrp20_104	1	0
F2_D_mrp20_105	1	0
F2_D_mrp20_106	1	0
F2_D_mrp20_107	0.9	0
F2_D_mrp20_108	1	0
F2_D_mrp20_109	1	0
F2_D_mrp20_110	1	0
F2_D_mrp20_111	0.9	0
F2_D_mrp20_112	0.9	0
F2_D_mrp20_113	1	0
F2_D_mrp20_114	0.9	0
F2_D_mrp20_115	1	0
F2_D_mrp20_116	1	0
F2_D_mrp20_117	1	0
F2_D_mrp20_118	0.9	0
F2_D_mrp20_119	0.9	0
F2_D_mrp20_120	1	0
F2_D_mrp20_121	1	0
F2_D_mrp20_122	0.9	0
F2_D_mrp20_123	1	0
F2_D_mrp20_124	0.9	0
F2_D_mrp20_125	0.9	0
F2_D_mrp20_126	1	0
F2_D_mrp20_127	1	0
F2_D_mrp20_128	0.9	0
F2_D_mrp20_129	1	0
F2_D_mrp20_130	0.9	0
F2_D_mrp20_131	1	0
F2_D_mrp20_132	0.9	0
F2_D_mrp20_133	0.9	0
F2_D_mrp20_134	0.9	0
F2_D_mrp20_135	0.9	0
F2_D_mrp20_136	1	0
F2_D_mrp20_137	1	0
F2_D_mrp20_138	0.9	0
F2_D_mrp20_139	0.9	0
F2_D_mrp20_140	0.9	0
F2_D_mrp20_141	1	0
F2_D_mrp20_142	1.7	1
F2_D_mrp20_143	0.9	0
F2_D_mrp20_144	0.9	0
F2_D_mrp20_145	1	0
F2_D_mrp20_146	1	0
F2_D_mrp20_147	1	0
F2_D_mrp20_148	0.9	0
F2_D_mrp20_149	1	0
F2_D_mrp20_150	0.9	0
F2_D_mrp20_151	1	0
F2_D_mrp20_152	1	0
F2_D_mrp20_153	0.9	0
F2_D_mrp20_154	1	0
F2_D_mrp20_155	1	0
F2_D_mrp20_156	0.9	0
F2_D_mrp20_157	0.9	0
F2_D_mrp20_158	0.9	0
F2_D_mrp20_159	1	0
F2_D_mrp20_160	0.9	0
F2_D_mrp20_161	0.9	0
F2_D_mrp20_162	0.9	0
F2_D_mrp20_163	1	0
F2_D_mrp20_164	0.9	0
F2_D_mrp20_165	0.9	0
F2_D_mrp20_166	0.9	0
F2_D_mrp20_167	0.9	0
F2_D_mrp20_168	1	0
F2_D_mrp20_169	1	0
F2_D_mrp20_170	1	0
F2_D_mrp20_171	1	0
F2_D_mrp20_172	1	0
F2_D_mrp20_173	0.9	0
F2_D_mrp20_174	1	0
F2_D_mrp20_175	1	0
F2_D_mrp20_176	1	0
F2_D_mrp20_177	1	0
F2_D_mrp20_178	1	0
F2_D_mrp20_179	0.9	0
F2_D_mrp20_180	1	0
F2_D_mrp20_181	1.7	1
F2_D_mrp20_182	1	0
F2_D_mrp20_183	0.9	0
F2_D_mrp20_184	1	0
F2_D_mrp20_185	1	0
F2_D_mrp20_186	1	0
F2_D_mrp20_187	0.9	0
F2_D_mrp20_188	0.9	0
F2_D_mrp20_189	1	0
F2_D_mrp20_190	1	0
F2_D_mrp20_191	1	0
F2_D_mrp20_192	0.8	0
F2_D_mrp20_193	0.9	0
F2_D_mrp20_194	1	0
F2_D_mrp20_195	1	0
F2_D_mrp20_196	0.9	0
F2_D_mrp20_197	0.9	0
F2_D_mrp20_198	0.9	0
F2_D_mrp20_199	1	0
F2_D_mrp20_200	1	0
F2_D_mrp20_201	1	0
F2_D_mrp20_202	0.9	0
F2_D_mrp20_203	0.9	0
F2_D_mrp20_204	0.9	0
F2_D_mrp20_205	0.9	0
F2_D_mrp20_206	1	0
F2_D_mrp20_207	1	0
F2_D_mrp20_208	1	0
F2_D_mrp20_209	1	0
F2_D_mrp20_210	1.2	0
F2_D_mrp20_211	1	0
F2_D_mrp20_212	1	0
F2_D_mrp20_213	0.9	0
F2_D_mrp20_214	1	0
F2_D_mrp20_215	1.1	0
F2_D_mrp20_216	1	0
F2_D_mrp20_217	1	0
F2_D_mrp20_218	1	0
F2_D_mrp20_219	1	0
F2_D_mrp20_220	0.9	0
F2_D_mrp20_221	1	0
F2_D_mrp20_222	1	0
F2_D_mrp20_223	0.9	0
F2_D_mrp20_224	1	0
F2_D_mrp20_225	1	0
F2_D_mrp20_226	0.9	0
F2_D_mrp20_227	0.9	0
F2_D_mrp20_228	1	0
F2_D_mrp20_229	0.9	0
F2_D_mrp20_230	1.5	1
F2_D_mrp20_231	1.7	1
F2_D_mrp20_232	1	0
F2_D_mrp20_233	0.9	0
F2_D_mrp20_234	1	0
F2_D_mrp20_235	1	0
F2_D_mrp20_236	1	0
F2_D_mrp20_237	1	0
F2_D_mrp20_238	0.9	0
F2_D_mrp20_239	1	0
F2_D_mrp20_240	1	0
F2_D_mrp20_241	0.9	0
F2_D_mrp20_242	0.9	0
F2_D_mrp20_243	1	0
F2_D_mrp20_244	1	0
F2_D_mrp20_245	0.9	0
F2_D_mrp20_246	1	0
F2_D_mrp20_247	1	0
F2_D_mrp20_248	0.9	0
F2_D_mrp20_249	0.9	0
F2_D_mrp20_250	1	0
F2_D_mrp20_251	0.9	0
F2_D_mrp20_252	1.3	0
F2_D_mrp20_253	0.9	0
F2_D_mrp20_254	0.9	0
F2_D_mrp20_255	0.9	0
F2_D_mrp20_256	1	0
F2_D_mrp20_257	1.8	1
F2_D_mrp20_258	1	0
F2_D_mrp20_259	1.7	1
F2_D_mrp20_260	0.9	0
F2_D_mrp20_261	1	0
F2_D_mrp20_262	0.9	0
F2_D_mrp20_263	1	0
F2_D_mrp20_264	0.9	0
F2_D_mrp20_265	1	0
F2_D_mrp20_266	0.9	0
F2_D_mrp20_267	0.9	0
F2_D_mrp20_268	0.9	0
F2_D_mrp20_269	1.1	0
F2_D_mrp20_270	0.9	0
F2_D_mrp20_271	1	0
F2_D_mrp20_272	0.9	0
F2_D_mrp20_273	0.9	0
F2_D_mrp20_274	1.7	1
F2_D_mrp20_275	1	0
F2_D_mrp20_276	1	0
F2_D_mrp20_277	1	0
F2_D_mrp20_278	0.9	0
F2_D_mrp20_279	0.9	0
F2_D_mrp20_280	1	0
F2_D_mrp20_281	1	0
F2_D_mrp20_282	1	0
F2_D_mrp20_283	1	0
F2_D_mrp20_284	1	0
F2_D_mrp20_285	1	0
F2_D_mrp20_286	1	0
F2_D_mrp20_287	1	0
F2_D_mrp20_288	1	0
F2_D_mrp20_289	1	0
F2_D_mrp20_290	1	0
F2_D_mrp20_291	1	0
F2_D_mrp20_292	0.9	0
F2_D_mrp20_293	0.9	0
F2_D_mrp20_294	1	0
F2_D_mrp20_295	1	0
F2_D_mrp20_296	1	0
F2_D_mrp20_297	0.9	0
F2_D_mrp20_298	1	0
F2_D_mrp20_299	0.9	0
F2_D_mrp20_300	0.9	0
F2_D_mrp20_301	1	0
F2_D_mrp20_302	1	0
F2_D_mrp20_303	1	0
F2_D_mrp20_304	0.9	0
